state;solo;publicly;total
Alabama;2021395;44068;2065463
Alaska;169412;4075;173487
Arizona;2371199;20425;2391624
Arkansas;914265;12524;926789
California;14615499;245468;14860967
Colorado;1768221;16837;1785058
Connecticut;1301153;1186;1302339
Delaware;417700;1499;419199
District of Columbia;191723;16418;208141
Florida;7670861;107632;7778493
Georgia;3481721;54334;3536055
Hawaii;504605;7781;512386
Idaho;547567;2439;550006
Illinois;4617096;38748;4655844
Indiana;2258547;2893;2261440
Iowa;1257304;11692;1268996
Kansas;983245;4014;987259
Kentucky;1659583;31502;1691085
Louisiana;1360611;28825;1389436
Maine;383228;4005;387233
Maryland;1977742;29162;2006904
Massachusetts;2204455;4013;2208468
Michigan;3233241;24232;3257473
Minnesota;2129307;16880;2146187
Mississippi;820128;2736;822864
Missouri;2122581;18469;2141050
Montana;440809;583;441392
Nebraska;662491;14549;677040
Nevada;1039514;7994;1047508
New Hampshire;502617;2764;505381
New Jersey;2774916;23783;2798699
New Mexico;601647;7847;609494
New York;4541749;21286;4563035
North Carolina;3271128;46790;3317918
North Dakota;272290;4255;276545
Ohio;4561052;44407;4605459
Oklahoma;1330082;7542;1337624
Oregon;1517573;24888;1542461
Pennsylvania;4415164;48103;4463267
Rhode Island;413227;7086;420313
South Carolina;1725328;83073;1808401
South Dakota;347216;5964;353180
Tennessee;2274107;50897;2325004
Texas;8084454;92425;8176879
Utah;914321;10731;925052
Vermont;217906;4030;221936
Virginia;3206183;45156;3251339
Washington;2854542;71223;2925765
West Virginia;550117;12867;562984
Wisconsin;2058730;33854;2092584
Wyoming;190149;3374;193523
